"search-number","evaluation","cutoff12*","cutoff23*","cutoff34*","tauN*","tauU*","randomLinks*","closeLinks*","sortingprice*","pReverseSorting*","sigma*","randomseed?*","rs*","steps*","recalculateNit?*","homophily?*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"2","756","0.115","0.445","0.595","0.2","0.15000000000000002","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.136066","50","0.16038249999999998"
"3","756","0.20500000000000002","0.8150000000000001","0.885","1","0.8500000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.080328","50","0.083607"
"4","756","0.155","0.515","0.675","0.30000000000000004","0.8","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.08306","50","0.0923495"
"5","756","0.275","0.785","0.875","0.4","0.5","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.074317","50","0.070492"
"6","756","0.215","0.415","0.555","0.05","0.65","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.071585","50","0.082787"
"7","756","0.305","0.6050000000000001","0.785","0.35000000000000003","0.5","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.055738","50","0.063388"
"8","756","0.07500000000000001","0.475","0.525","0.15000000000000002","0","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.235519","50","0.245902"
"9","756","0.034999999999999996","0.405","0.525","0.05","0.9500000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.105464","50","0.10546449999999999"
"10","756","0.155","0.425","0.625","0.25","0.9","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.145355","50","0.15"
"11","756","0.395","0.675","0.825","0.35000000000000003","1","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.097268","50","0.1188525"
"12","756","0.445","0.7450000000000001","0.885","0.65","0.2","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.142623","50","0.1592895"
"13","756","0.34500000000000003","0.525","0.825","0.35000000000000003","0.6000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.107104","50","0.119672"
"14","756","0.35500000000000004","0.445","0.535","0.15000000000000002","0.25","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.089071","50","0.0959015"
"15","756","0.295","0.8350000000000001","0.885","0.65","0.75","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.078689","50","0.082787"
"16","756","0.185","0.805","0.885","0.8","0.75","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.07541","50","0.10601050000000001"
"17","756","0.305","0.405","0.535","0.05","0.35000000000000003","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.066667","50","0.0844265"
"18","756","0.34500000000000003","0.475","0.555","0.1","0.1","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.156284","50","0.1508195"
"19","756","0.155","0.435","0.545","0","0.2","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.117486","50","0.106557"
"20","756","0.225","0.8250000000000001","0.895","0.8","0.5","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.067213","50","0.079508"
